holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_cell_line	expression	Expression only	test_antagonism_auroc	5	-0.00012330754710434543	0.03094472318967108	0.0038317522925019887	-0.038494329510117	0.0388446518305674	3	2	7.0	1.0
unseen_cell_line	expression	Expression only	test_antagonism_auprc	5	-0.005826988479949824	0.009711902716215639	-0.0022859474771547428	-0.021941803698792256	0.0035633875607973264	1	4	3.0	0.3125
unseen_cell_line	expression	Expression only	test_no_interaction_f1	5	-0.00821047641487067	0.04004686415428645	0.0030404337097287293	-0.07673998604375809	0.0250958532333293	3	2	7.0	1.0
unseen_cell_line	expression	Expression only	test_no_interaction_auroc	5	-0.00038244617597742446	0.01544047639999996	0.01057863660988767	-0.02145593931288936	0.010689053899743839	3	2	6.0	0.8125
unseen_cell_line	expression	Expression only	test_no_interaction_auprc	5	0.00027996434313235505	0.005816226279651495	0.003527292526187553	-0.007107235584480565	0.005287041717569441	3	2	7.0	1.0
unseen_cell_line	expression	Expression only	test_synergy_f1	5	0.0005038556625649226	0.0249398086232083	0.0032944271987251916	-0.037637081435796804	0.03229451456722415	4	1	5.0	0.625
unseen_cell_line	expression	Expression only	test_synergy_auroc	5	0.01124308350988441	0.018526839396736237	0.011646804218534035	-0.010290011847799319	0.032727911647854935	3	2	3.0	0.3125
unseen_cell_line	expression	Expression only	test_synergy_auprc	5	-0.005917164967860361	0.013405339370052874	-0.006650641918881012	-0.02117164863814705	0.012550063833083519	2	3	4.0	0.4375
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_macro_f1	5	-0.005452662186107693	0.020171950903774313	-0.0020752481876697426	-0.03410951666413131	0.01739732323748483	2	3	6.0	0.8125
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_balanced_accuracy	5	-0.00976476067890517	0.012016730227979784	-0.01329858638886483	-0.022541509446484476	0.009784425229931393	1	4	2.0	0.1875
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_macro_ovr_auroc	5	-0.0013483825762855561	0.015116806342565308	-0.004194583203377733	-0.012621410075604245	0.024556755313576595	1	4	5.0	0.625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_macro_auprc	5	-0.010669052937729795	0.005354727269298938	-0.011213678186691334	-0.015243774057595527	-0.0019375223830881971	0	5	0.0	0.0625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_f1	5	-0.004714855750366659	0.031748960564588063	-0.00856232279256064	-0.05256883825414324	0.02923972801161384	2	3	7.0	1.0
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_auroc	5	0.003132488721427862	0.01933009570246249	0.010010320223398317	-0.028627793726375472	0.020811464747340414	3	2	6.0	0.8125
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_auprc	5	-0.01808214746142551	0.026701608095523553	-0.01527308448101608	-0.060281809743113285	0.011756585833413657	1	4	2.0	0.1875
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_f1	5	-7.908716475442112e-05	0.04928614170370978	0.010407371170772506	-0.07588620043938299	0.05532603693530691	3	2	7.0	1.0
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_auroc	5	-0.001598179664206989	0.011622783264260608	-0.004320209186723267	-0.013695675284224329	0.017660269204821	1	4	5.0	0.625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_auprc	5	-0.00032968186275885716	0.004830340692207977	-0.000704975988548906	-0.00599373969698469	0.007358532760266101	1	4	5.0	0.625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_f1	5	-0.01156404364320196	0.02117046389696446	-0.021728536484258543	-0.02292044387383907	0.026126488701132322	1	4	5.0	0.625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_auroc	5	-0.005579456786077653	0.05004119879958583	-0.018074221545669622	-0.051055483562294945	0.07735562100155624	1	4	5.0	0.625
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_auprc	5	-0.013595329489005043	0.01927761558230258	-0.022494466341005853	-0.024927685742944405	0.020544227267311366	1	4	2.0	0.1875
unseen_cell_line	expression_regulons	Expression + regulons	test_macro_f1	5	0.0006283350753373051	0.03639103960342738	0.007165784820462928	-0.04209281695714484	0.043939727551321806	3	2	7.0	1.0
unseen_cell_line	expression_regulons	Expression + regulons	test_balanced_accuracy	5	-0.013243070701460557	0.02690043814861403	-0.0009862416528779727	-0.052575919288913364	0.011301060006298935	2	3	5.0	0.625
unseen_cell_line	expression_regulons	Expression + regulons	test_macro_ovr_auroc	5	0.0006654917265188631	0.021592848329498662	0.011670281660473902	-0.03176016865065723	0.01770072268057865	3	2	6.0	0.8125
