feature	n_drugs_active	fraction_drugs_active
morgan_0448	297	0.0362548828125
morgan_0449	47	0.0057373046875
morgan_0450	32	0.00390625
morgan_0451	51	0.0062255859375
morgan_0452	44	0.00537109375
morgan_0453	94	0.011474609375
morgan_0454	112	0.013671875
morgan_0455	139	0.0169677734375
morgan_0456	372	0.04541015625
morgan_0457	110	0.013427734375
morgan_0458	274	0.033447265625
morgan_0459	64	0.0078125
morgan_0460	87	0.0106201171875
morgan_0461	165	0.0201416015625
morgan_0462	42	0.005126953125
morgan_0463	115	0.0140380859375
morgan_0464	376	0.0458984375
morgan_0465	51	0.0062255859375
morgan_0466	43	0.0052490234375
morgan_0467	25	0.0030517578125
morgan_0468	38	0.004638671875
morgan_0469	97	0.0118408203125
morgan_0470	229	0.0279541015625
morgan_0471	147	0.0179443359375
morgan_0472	60	0.00732421875
morgan_0473	258	0.031494140625
morgan_0474	84	0.01025390625
morgan_0475	65	0.0079345703125
morgan_0476	76	0.00927734375
morgan_0477	31	0.0037841796875
morgan_0478	128	0.015625
morgan_0479	165	0.0201416015625
morgan_0480	31	0.0037841796875
morgan_0481	88	0.0107421875
morgan_0482	219	0.0267333984375
morgan_0483	28	0.00341796875
morgan_0484	127	0.0155029296875
morgan_0485	97	0.0118408203125
morgan_0486	1065	0.1300048828125
morgan_0487	53	0.0064697265625
morgan_0488	87	0.0106201171875
morgan_0489	417	0.0509033203125
morgan_0490	156	0.01904296875
morgan_0491	475	0.0579833984375
morgan_0492	41	0.0050048828125
morgan_0493	90	0.010986328125
morgan_0494	84	0.01025390625
morgan_0495	84	0.01025390625
morgan_0496	91	0.0111083984375
morgan_0497	130	0.015869140625
morgan_0498	17	0.0020751953125
morgan_0499	58	0.007080078125
morgan_0500	71	0.0086669921875
morgan_0501	109	0.0133056640625
morgan_0502	216	0.0263671875
morgan_0503	81	0.0098876953125
morgan_0504	364	0.04443359375
morgan_0505	49	0.0059814453125
morgan_0506	50	0.006103515625
morgan_0507	240	0.029296875
morgan_0508	77	0.0093994140625
morgan_0509	35	0.0042724609375
morgan_0510	68	0.00830078125
morgan_0511	104	0.0126953125
morgan_0512	33	0.0040283203125
morgan_0513	46	0.005615234375
morgan_0514	62	0.007568359375
morgan_0515	66	0.008056640625
morgan_0516	71	0.0086669921875
morgan_0517	46	0.005615234375
morgan_0518	24	0.0029296875
morgan_0519	286	0.034912109375
morgan_0520	42	0.005126953125
morgan_0521	153	0.0186767578125
morgan_0522	61	0.0074462890625
morgan_0523	317	0.0386962890625
morgan_0524	146	0.017822265625
morgan_0525	188	0.02294921875
morgan_0526	198	0.024169921875
morgan_0527	176	0.021484375
morgan_0528	136	0.0166015625
morgan_0529	184	0.0224609375
morgan_0530	55	0.0067138671875
morgan_0531	125	0.0152587890625
morgan_0532	61	0.0074462890625
morgan_0533	131	0.0159912109375
morgan_0534	58	0.007080078125
morgan_0535	41	0.0050048828125
morgan_0536	28	0.00341796875
morgan_0537	19	0.0023193359375
morgan_0538	38	0.004638671875
morgan_0539	51	0.0062255859375
morgan_0540	71	0.0086669921875
morgan_0541	80	0.009765625
morgan_0542	72	0.0087890625
morgan_0543	48	0.005859375
morgan_0544	181	0.0220947265625
morgan_0545	47	0.0057373046875
morgan_0546	75	0.0091552734375
morgan_0547	225	0.0274658203125
morgan_0548	134	0.016357421875
morgan_0549	77	0.0093994140625
morgan_0550	127	0.0155029296875
morgan_0551	52	0.00634765625
morgan_0552	325	0.0396728515625
morgan_0553	39	0.0047607421875
morgan_0554	117	0.0142822265625
morgan_0555	201	0.0245361328125
morgan_0556	197	0.0240478515625
morgan_0557	66	0.008056640625
morgan_0558	102	0.012451171875
morgan_0559	105	0.0128173828125
morgan_0560	54	0.006591796875
morgan_0561	1201	0.1466064453125
morgan_0562	278	0.033935546875
morgan_0563	67	0.0081787109375
morgan_0564	247	0.0301513671875
morgan_0565	62	0.007568359375
morgan_0566	45	0.0054931640625
morgan_0567	59	0.0072021484375
morgan_0568	32	0.00390625
morgan_0569	57	0.0069580078125
morgan_0570	42	0.005126953125
morgan_0571	74	0.009033203125
morgan_0572	29	0.0035400390625
morgan_0573	442	0.053955078125
morgan_0574	61	0.0074462890625
morgan_0575	147	0.0179443359375
morgan_0576	92	0.01123046875
morgan_0577	270	0.032958984375
morgan_0578	51	0.0062255859375
morgan_0579	52	0.00634765625
morgan_0580	65	0.0079345703125
morgan_0581	68	0.00830078125
morgan_0582	83	0.0101318359375
morgan_0583	63	0.0076904296875
morgan_0584	76	0.00927734375
morgan_0585	199	0.0242919921875
morgan_0586	225	0.0274658203125
morgan_0587	99	0.0120849609375
morgan_0588	145	0.0177001953125
morgan_0589	121	0.0147705078125
morgan_0590	195	0.0238037109375
morgan_0591	371	0.0452880859375
morgan_0592	318	0.038818359375
morgan_0593	53	0.0064697265625
morgan_0594	50	0.006103515625
morgan_0595	61	0.0074462890625
morgan_0596	30	0.003662109375
morgan_0597	100	0.01220703125
