drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
190	dihydroergotamine	original	82	0.0400390625	43.0	43.0	1.0	583.689	0.0
191	Dutasteride	original	63	0.03076171875	37.0	37.0	1.0	528.5370000000001	0.0
192	spironolactone	original	52	0.025390625	29.0	29.0	1.0	416.5830000000003	0.0
193	sildenafil	selected_first_valid_semicolon_candidate	61	0.02978515625	33.0	33.0	1.0	474.5870000000004	0.0
194	trioxsalen	original	29	0.01416015625	17.0	17.0	1.0	228.24699999999996	0.0
195	acarbose	original	50	0.0244140625	44.0	44.0	1.0	645.6080000000004	0.0
196	ENTACAPONE	original	43	0.02099609375	22.0	22.0	1.0	305.2900000000001	0.0
197	digitoxin	original	68	0.033203125	54.0	54.0	1.0	764.9500000000003	0.0
198	zalcitabine	original	37	0.01806640625	15.0	15.0	1.0	211.22099999999998	0.0
199	milrinone	original	33	0.01611328125	16.0	16.0	1.0	211.22400000000002	0.0
200	Acitretin	original	41	0.02001953125	24.0	24.0	1.0	326.4360000000001	0.0
201	azithromycin	original	80	0.0390625	52.0	52.0	1.0	748.9960000000002	0.0
202	isoproterenol	original	28	0.013671875	15.0	15.0	1.0	211.261	0.0
203	niclosamide	original	39	0.01904296875	21.0	21.0	1.0	327.123	0.0
204	Aripiprazole	original	54	0.0263671875	30.0	30.0	1.0	448.3940000000001	0.0
205	CHEBI:45367	original	96	0.046875	61.0	61.0	1.0	847.0190000000003	0.0
206	mebendazole	original	40	0.01953125	22.0	22.0	1.0	295.298	0.0
207	ethinyl estradiol	original	43	0.02099609375	22.0	22.0	1.0	296.40999999999997	0.0
208	Eptifibatide	original	91	0.04443359375	57.0	57.0	1.0	831.9789999999996	0.0
209	Tacrine	original	28	0.013671875	15.0	15.0	1.0	198.26899999999995	0.0
210	zafirlukast	original	71	0.03466796875	41.0	41.0	1.0	575.6870000000001	0.0
211	Olmesartan medoxomil	original	73	0.03564453125	41.0	41.0	1.0	558.5950000000004	0.0
212	diethylcarbamazine	original	23	0.01123046875	14.0	14.0	1.0	199.29799999999994	0.0
213	Enalaprilat	original	46	0.0224609375	25.0	25.0	1.0	348.39900000000006	0.0
214	TETRABENAZINE	original	43	0.02099609375	23.0	23.0	1.0	317.4290000000001	0.0
215	levamisole	original	30	0.0146484375	14.0	14.0	1.0	204.29800000000003	0.0
216	mecamylamine	original	19	0.00927734375	12.0	12.0	1.0	167.296	0.0
217	procarbazine	original	30	0.0146484375	16.0	16.0	1.0	221.304	0.0
218	Tolvaptan	original	56	0.02734375	32.0	32.0	1.0	448.9500000000003	0.0
219	Endoxifen	original	39	0.01904296875	28.0	28.0	1.0	373.49600000000004	0.0
