source	n_targets	mean_abs_prior_weight
HOXD11	4	1.0
ATOH8	4	1.0
NANOGP8	4	1.0
SIM1	4	1.0
NEUROD4	4	1.0
CBFB	4	1.0
SMARCE1	4	1.0
ZBTB2	4	1.0
CNOT7	4	1.0
PIAS3	4	1.0
FUS	4	1.0
DMBX1	4	1.0
ONECUT2	4	1.0
ZNF316	4	1.0
ZNF32	4	1.0
ARHGAP35	4	1.0
MAFF	4	1.0
EN2	4	1.0
TLE5	4	1.0
PRDM10	4	1.0
ALX1	4	1.0
POU6F2	4	1.0
ZNF281	4	1.0
NPAS1	4	1.0
POU3F3	4	1.0
MEIS3	4	1.0
DUX4	4	1.0
TFEC	4	1.0
OSR1	4	1.0
MRTFA	4	1.0
DR1	4	1.0
PIAS2	4	1.0
PURB	4	1.0
PRDM5	4	1.0
KLF14	4	1.0
ARID5A	4	1.0
RERE	4	1.0
KMT2E	4	1.0
FOXD2	4	1.0
ZNF274	4	1.0
LBX1	4	1.0
KDM2B	4	1.0
KAT8	4	1.0
NFKBIE	3	1.0
DMRTA1	3	1.0
OTX1	3	1.0
UBP1	3	1.0
THAP1	3	1.0
E2F8	3	1.0
TFAP2E	3	1.0
FOXP4	3	1.0
CREB3L4	3	1.0
TSHZ1	3	1.0
SP100	3	1.0
ZBTB20	3	1.0
EBF2	3	1.0
NKX2-6	3	1.0
THAP9	3	1.0
TRIM22	3	1.0
TOX2	3	1.0
WNT3A	3	1.0
YY2	3	1.0
EVX1	3	1.0
TBX22	3	1.0
FOXS1	3	1.0
ZBED6	3	1.0
CARF	3	1.0
CBFA2T3	3	1.0
FOXK1	3	1.0
CIC	3	1.0
GSX2	3	1.0
TSG101	3	1.0
TBX4	3	1.0
TCFL5	3	1.0
HOXC4	3	1.0
HMBOX1	3	1.0
PER2	3	1.0
ZNF165	3	1.0
ZNF20	3	1.0
KLF16	3	1.0
ZNF224	3	1.0
PCGF2	3	1.0
KMT2D	3	1.0
L3MBTL1	3	1.0
ZNF250	3	1.0
RCOR1	3	1.0
LDB1	3	1.0
ZNF260	3	1.0
RAX	3	1.0
LHX9	3	1.0
ASCL4	3	1.0
NRIP1	3	1.0
ALX3	3	1.0
PRDM13	3	1.0
ZNF398	3	1.0
NOBOX	3	1.0
ZNF451	3	1.0
ZNF461	3	1.0
ZNF503	3	1.0
ZNF521	3	1.0
ZNF746	3	1.0
MUC1	3	1.0
ZSCAN10	3	1.0
ARNT2	3	1.0
TFCP2L1	3	1.0
IRX5	3	1.0
HOXB8	3	1.0
ZHX3	3	1.0
SIN3B	3	1.0
BHLHE23	3	1.0
HOXD9	3	1.0
BATF3	3	1.0
SHOX	3	1.0
HMX1	3	1.0
ZKSCAN3	3	1.0
SOX1	3	1.0
BCL6B	3	1.0
BRD7	3	1.0
PBX4	3	1.0
IRX3	3	1.0
NCOA4	3	1.0
ZFHX2	2	1.0
ZFP57	2	1.0
AKNA	2	1.0
BHLHE22	2	1.0
DLX6	2	1.0
APBB1	2	1.0
ZNF322	2	1.0
ZBTB22	2	1.0
ZFAT	2	1.0
ZFP90	2	1.0
ZNF571	2	1.0
THAP7	2	1.0
ZNF667	2	1.0
DMRT3	2	1.0
ZNF77	2	1.0
ZNF8	2	1.0
ZBTB7C	2	1.0
ZXDA	2	1.0
ZNF304	2	1.0
ZNF277	2	1.0
ZNF296	2	1.0
BTAF1	2	1.0
ZNF16	2	1.0
ZNF174	2	1.0
ZNF135	2	1.0
ZNF205	2	1.0
ZMIZ1	2	1.0
CREB3L2	2	1.0
ZKSCAN4	2	1.0
CREBL2	2	1.0
CREBRF	2	1.0
NKX2-8	2	1.0
TRRAP	2	1.0
ZBTB10	2	1.0
CUX2	2	1.0
TRIB3	2	1.0
ZNF256	2	1.0
DACH2	2	1.0
ZNF266	2	1.0
DDX5	2	1.0
ZNF268	2	1.0
COPS5	2	1.0
BBX	2	1.0
ZNF287	2	1.0
ZNF239	2	1.0
TERF2	2	1.0
FOXI3	2	1.0
SRCAP	2	1.0
SP8	2	1.0
LHX6	2	1.0
SPEN	2	1.0
PRRX2	2	1.0
LIN28A	2	1.0
PARP10	2	1.0
LMO3	2	1.0
SPZ1	2	1.0
GRHL1	2	1.0
RBAK	2	1.0
GMEB1	2	1.0
ST18	2	1.0
GCM2	2	1.0
MAML2	2	1.0
FOXL1	2	1.0
TAF4	2	1.0
FOXK2	2	1.0
POU6F1	2	1.0
MYCL	2	1.0
SP5	2	1.0
MED23	2	1.0
KDM3B	2	1.0
IRX2	2	1.0
SIRT6	2	1.0
SIX2	2	1.0
ISL2	2	1.0
HOXC10	2	1.0
HOXA3	2	1.0
SMARCD3	2	1.0
HMX3	2	1.0
SND1	2	1.0
HES4	2	1.0
SOHLH2	2	1.0
SOX15	2	1.0
MYT1L	2	1.0
KMT2C	2	1.0
LCOR	2	1.0
SOX21	2	1.0
RBPJL	2	1.0
RBCK1	2	1.0
FOXJ3	2	1.0
PBX3	2	1.0
TBX19	2	1.0
DRGX	2	1.0
FIZ1	2	1.0
OVOL2	2	1.0
PIAS4	2	1.0
PHF1	2	1.0
PHF8	2	1.0
EVX2	2	1.0
FOXD4	2	1.0
OTP	2	1.0
PHB1	2	1.0
TCF23	2	1.0
EMX1	2	1.0
NKX2-3	2	1.0
MXD4	2	1.0
ADNP2	1	1.0
ZNF85	1	1.0
RHOXF1	1	1.0
PCBD1	1	1.0
RNF14	1	1.0
KAT2A	1	1.0
RFX6	1	1.0
ZNF230	1	1.0
NSD1	1	1.0
MIER1	1	1.0
MSGN1	1	1.0
ZNF444	1	1.0
ZNF2	1	1.0
ZSCAN21	1	1.0
SAP30	1	1.0
ZNF134	1	1.0
PIR	1	1.0
ZNF14	1	1.0
ZNF140	1	1.0
RYBP	1	1.0
ZSCAN9	1	1.0
ZSCAN26	1	1.0
RUVBL1	1	1.0
MID2	1	1.0
ISX	1	1.0
JAZF1	1	1.0
RUNX1T1	1	1.0
ZNF175	1	1.0
ZNF184	1	1.0
ZSCAN18	1	1.0
ZNF189	1	1.0
ZNF195	1	1.0
ZNF79	1	1.0
ZNF267	1	1.0
AEBP2	1	1.0
MED12	1	1.0
ALX4	1	1.0
ZNF652	1	1.0
PRDM14	1	1.0
ZNF383	1	1.0
ZNF569	1	1.0
PPP1R13L	1	1.0
MBD3	1	1.0
ZNF513	1	1.0
RBFOX2	1	1.0
ZNF417	1	1.0
ZNF512B	1	1.0
ZNF419	1	1.0
MED26	1	1.0
MED15	1	1.0
ZNF431	1	1.0
ZNF492	1	1.0
ZNF653	1	1.0
ZMYND11	1	1.0
MYBBP1A	1	1.0
LYAR	1	1.0
NME2	1	1.0
RBBP8	1	1.0
ZNF750	1	1.0
MGA	1	1.0
LHX5	1	1.0
ZNF711	1	1.0
NPAS3	1	1.0
ZNF292	1	1.0
LIMD1	1	1.0
ZNF692	1	1.0
LMO1	1	1.0
ZNF671	1	1.0
MESP1	1	1.0
PRMT5	1	1.0
PRDM8	1	1.0
ANKRD1	1	1.0
DPF3	1	1.0
IKZF5	1	1.0
TBL1XR1	1	1.0
FOXJ2	1	1.0
TRIM24	1	1.0
TRIM25	1	1.0
TRIM27	1	1.0
OLIG3	1	1.0
TRIM31	1	1.0
TRIM5	1	1.0
