source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
HDAC1	83	83	46	0.14310042281392146	0.1105596683339738	0.5140036756054476	0.5542168674698795
FOXM1	96	95	46	0.18292478748191315	0.09875822630745222	0.722153334717118	0.4842105263157895
STAT6	125	124	46	0.08486922147126955	0.06651422325500313	0.3289423153211623	0.3709677419354839
NCOA1	90	90	45	0.13364549556816224	0.10001214941885686	0.516524220088852	0.5
CLOCK	67	66	44	0.17126856272947003	0.16020683981051553	0.4285402749039095	0.6666666666666666
NKX2-5	74	73	44	0.12308072925680873	0.11740137875178185	0.30539594906927936	0.6027397260273972
NCOR1	90	89	44	0.1338317943049789	0.09843957678731781	0.460310567494607	0.4943820224719101
E2F2	50	50	43	0.3923552454996625	0.41825053674722484	0.7305938679576008	0.86
IRF2	61	60	43	0.17527775798066017	0.1348407625843469	0.5042631156064699	0.7166666666666667
NCOR2	69	68	43	0.15193690441087068	0.13141454085940268	0.5225845050819675	0.6323529411764706
MBD2	89	88	43	0.1314702971185652	0.09634462463000416	0.4315424245619785	0.48863636363636365
HR	92	92	43	0.10761512357391269	0.09044098292428648	0.425636973281412	0.4673913043478261
MYBL2	51	50	42	0.2388971244558946	0.17794083937320543	0.7054801151939246	0.84
SREBF2	71	70	42	0.18702882242004762	0.17321956633283073	0.6220429937011641	0.6
SMAD7	67	66	42	0.16803825924139568	0.1617208266170091	0.39624001399576736	0.6363636363636364
NFKB2	77	76	42	0.17616832297905027	0.15243842201024332	0.7637481093218559	0.5526315789473685
KMT2A	70	69	42	0.20023346566456965	0.14013553465319503	0.592863666452528	0.6086956521739131
NR5A1	107	106	42	0.09583034560715491	0.08253554452175058	0.24748722454696365	0.39622641509433965
NFATC1	120	119	42	0.09055678865749804	0.06644428772554947	0.34396622356181294	0.35294117647058826
TFCP2	75	74	41	0.1253996719601072	0.11306691482023501	0.39065793267869375	0.5540540540540541
HES1	92	91	41	0.11924314970222698	0.08852630665814941	0.5122990419177199	0.45054945054945056
DDIT3	100	99	41	0.10661961873138008	0.07265085380290767	0.5511730559844966	0.41414141414141414
WT1	156	155	41	0.0740656005208621	0.06712342905016723	0.27377886580070265	0.2645161290322581
DNMT3B	70	69	40	0.14265608331479715	0.1238786354719681	0.40589438572006736	0.5797101449275363
EP300	74	74	40	0.15896933233756447	0.11190050376557706	0.7219980726179563	0.5405405405405406
NFATC2	93	92	40	0.09951685237000367	0.07940646546689714	0.36005859395290524	0.43478260869565216
BRCA1	61	60	39	0.20293353005930098	0.14634305537136466	0.6652820169084691	0.65
NCOA2	64	63	39	0.154501698365506	0.12446216615568663	0.5414694974874602	0.6190476190476191
FOSL1	51	51	38	0.28635330831774874	0.24971992950510108	0.719273695387636	0.7450980392156863
SNAI2	49	48	38	0.221087782746295	0.20158318934073832	0.49243869444305666	0.7916666666666666
IKZF1	52	52	38	0.20932853230557724	0.18187315450280328	0.5383257051046486	0.7307692307692307
ATF6	58	57	38	0.1930538514399014	0.17043952204890872	0.5499443631934409	0.6666666666666666
ELK1	61	61	38	0.13487162514512505	0.15060330252325724	0.37379107690506597	0.6229508196721312
KAT5	58	57	38	0.1595659380703943	0.11879771761865823	0.4374891443945873	0.6666666666666666
ETS2	109	108	38	0.08599234050440531	0.06282453904416695	0.26856598876587046	0.35185185185185186
RUNX3	69	69	37	0.12313514306645225	0.10678844399568081	0.3379913857929953	0.5362318840579711
GATA2	100	99	37	0.09832297708189155	0.08269398811294923	0.3374941766847198	0.37373737373737376
