holdout	metric	context_a	context_b	seed	a	b	delta_b_minus_a
unseen_cell_line	test_balanced_accuracy	regulons_programs	expression_regulons_programs	46	0.5438597629615302	0.5423983250015784	-0.0014614379599517946
unseen_cell_line	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	42	0.7073881689264017	0.7060337691217901	-0.0013543998046116057
unseen_cell_line	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	43	0.7041771566688636	0.6944432367375701	-0.009733919931293467
unseen_cell_line	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	44	0.7031749649681583	0.6726136502334038	-0.03056131473475454
unseen_cell_line	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	45	0.7092465259619732	0.7000590322366725	-0.0091874937253007
unseen_cell_line	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	46	0.7005391120413176	0.7071174733522513	0.0065783613109337
unseen_cell_line	test_macro_auprc	regulons_programs	expression_regulons_programs	42	0.45028594938738326	0.45353434084611827	0.0032483914587350116
unseen_cell_line	test_macro_auprc	regulons_programs	expression_regulons_programs	43	0.45867906840829686	0.4457249577221729	-0.012954110686123954
unseen_cell_line	test_macro_auprc	regulons_programs	expression_regulons_programs	44	0.45313887928512037	0.44181384716839345	-0.011325032116726919
unseen_cell_line	test_macro_auprc	regulons_programs	expression_regulons_programs	45	0.45534282122566755	0.4525902296040285	-0.0027525916216390445
unseen_cell_line	test_macro_auprc	regulons_programs	expression_regulons_programs	46	0.4446750788841993	0.46540120885672426	0.02072612997252493
unseen_cell_line	test_antagonism_auprc	regulons_programs	expression_regulons_programs	42	0.18777097271523682	0.20894439394851025	0.021173421233273426
unseen_cell_line	test_antagonism_auprc	regulons_programs	expression_regulons_programs	43	0.21447541311809848	0.17737848394845657	-0.03709692916964191
unseen_cell_line	test_antagonism_auprc	regulons_programs	expression_regulons_programs	44	0.1998036574696828	0.20863998941990194	0.008836331950219156
unseen_cell_line	test_antagonism_auprc	regulons_programs	expression_regulons_programs	45	0.20534285469017538	0.19285527208680964	-0.012487582603365743
unseen_cell_line	test_antagonism_auprc	regulons_programs	expression_regulons_programs	46	0.17905344468039813	0.22709426336364902	0.048040818683250885
unseen_cell_line	test_synergy_auprc	regulons_programs	expression_regulons_programs	42	0.23427677823155457	0.2223189042866724	-0.01195787394488218
unseen_cell_line	test_synergy_auprc	regulons_programs	expression_regulons_programs	43	0.2360548467267179	0.23228482998508285	-0.003770016741635046
unseen_cell_line	test_synergy_auprc	regulons_programs	expression_regulons_programs	44	0.22711032713740492	0.19526784492840765	-0.03184248220899727
unseen_cell_line	test_synergy_auprc	regulons_programs	expression_regulons_programs	45	0.23010584928861333	0.24136147698490523	0.011255627696291903
unseen_cell_line	test_synergy_auprc	regulons_programs	expression_regulons_programs	46	0.2233303218873321	0.2440933638826897	0.020763041995357612
unseen_drug	test_macro_f1	programs	expression_programs	42	0.5274158614690485	0.5393484434826759	0.011932582013627346
unseen_drug	test_macro_f1	programs	expression_programs	43	0.528382203701922	0.5729545054408296	0.04457230173890758
unseen_drug	test_macro_f1	programs	expression_programs	44	0.5389480739036769	0.5412972911503547	0.002349217246677804
unseen_drug	test_macro_f1	programs	expression_programs	45	0.5406802871392786	0.5800648142337982	0.03938452709451956
unseen_drug	test_macro_f1	programs	expression_programs	46	0.5226853767320305	0.5326722874819277	0.009986910749897215
unseen_drug	test_balanced_accuracy	programs	expression_programs	42	0.589401040668033	0.6497466381341062	0.06034559746607315
unseen_drug	test_balanced_accuracy	programs	expression_programs	43	0.6241842782497081	0.6618339262789569	0.03764964802924875
unseen_drug	test_balanced_accuracy	programs	expression_programs	44	0.6243100817594032	0.6172160703740971	-0.007094011385306076
unseen_drug	test_balanced_accuracy	programs	expression_programs	45	0.6090268713617587	0.6592466196783638	0.05021974831660514
unseen_drug	test_balanced_accuracy	programs	expression_programs	46	0.6308254359796851	0.6177347761949141	-0.013090659784770975
unseen_drug	test_macro_ovr_auroc	programs	expression_programs	42	0.7599003610884432	0.8073137509958254	0.0474133899073822
unseen_drug	test_macro_ovr_auroc	programs	expression_programs	43	0.7820682787785858	0.8134630768887104	0.03139479811012469
unseen_drug	test_macro_ovr_auroc	programs	expression_programs	44	0.7830922555122083	0.7819184166376214	-0.0011738388745868855
unseen_drug	test_macro_ovr_auroc	programs	expression_programs	45	0.7802715735324623	0.8216390867101105	0.041367513177648196
unseen_drug	test_macro_ovr_auroc	programs	expression_programs	46	0.792497427469519	0.7822267826552437	-0.01027064481427531
unseen_drug	test_macro_auprc	programs	expression_programs	42	0.541730678392671	0.5670081221943354	0.025277443801664412
unseen_drug	test_macro_auprc	programs	expression_programs	43	0.5681410163988723	0.5995324252123893	0.031391408813516986
unseen_drug	test_macro_auprc	programs	expression_programs	44	0.5607165156398214	0.5608781082046367	0.00016159256481529383
unseen_drug	test_macro_auprc	programs	expression_programs	45	0.568313131456286	0.6113990318831456	0.04308590042685956
unseen_drug	test_macro_auprc	programs	expression_programs	46	0.5767676604167131	0.5645925319093302	-0.012175128507382893
unseen_drug	test_antagonism_auprc	programs	expression_programs	42	0.28329845037915974	0.3349712494465662	0.05167279906740646
unseen_drug	test_antagonism_auprc	programs	expression_programs	43	0.3498711962133173	0.4046173208137599	0.05474612460044259
unseen_drug	test_antagonism_auprc	programs	expression_programs	44	0.32337460413113417	0.33387447839550694	0.010499874264372766
unseen_drug	test_antagonism_auprc	programs	expression_programs	45	0.3374993333280371	0.41338246032510984	0.07588312699707273
unseen_drug	test_antagonism_auprc	programs	expression_programs	46	0.37353130990240807	0.33754248020115235	-0.03598882970125572
unseen_drug	test_synergy_auprc	programs	expression_programs	42	0.41557671830120574	0.4199973221270918	0.004420603825886049
unseen_drug	test_synergy_auprc	programs	expression_programs	43	0.42088718780135104	0.4506240087702206	0.029736820968869537
unseen_drug	test_synergy_auprc	programs	expression_programs	44	0.4201383509253188	0.4123803537464551	-0.007757997178863718
unseen_drug	test_synergy_auprc	programs	expression_programs	45	0.43666402306563223	0.4736044344473288	0.03694041138169657
unseen_drug	test_synergy_auprc	programs	expression_programs	46	0.4197285222597688	0.4215522848276969	0.0018237625679281
unseen_drug	test_macro_f1	programs	regulons_programs	42	0.5274158614690485	0.5442314719942668	0.016815610525218294
unseen_drug	test_macro_f1	programs	regulons_programs	43	0.528382203701922	0.5370739532923844	0.008691749590462372
unseen_drug	test_macro_f1	programs	regulons_programs	44	0.5389480739036769	0.5656913383235861	0.026743264419909152
unseen_drug	test_macro_f1	programs	regulons_programs	45	0.5406802871392786	0.5504675667129999	0.009787279573721275
