drugcomb_id	dname	inchikey	n_seed_symbols	n_symbols_mapped_to_ensembl	n_targets_in_huri	fraction_targets_in_huri	drug_target_status	seed_symbols	huri_target_ensembl
944	Ropinirole hydrochloride	XDXHAEQXIBQUEZ-UHFFFAOYSA-N	4	4	0	0.0	targets_known_but_none_in_huri	DRD2;DRD3;DRD4;HTR1A	
945	artemisinin	BLUAFEHZUWYNDE-NNWCWBAJSA-N	1	1	0	0.0	targets_known_but_none_in_huri	PTGES2	
946	Brinzolamide	HCRKCZRJWPKOAR-JTQLQIEISA-N	11	11	2	0.18181818181818182	targets_mapped_to_huri	CA1;CA12;CA13;CA14;CA2;CA4;CA5A;CA5B;CA6;CA7;CA9	ENSG00000185015;ENSG00000107159
947	Dienogest	AZFLJNIPTRTECV-FUMNGEBKSA-N	1	1	0	0.0	targets_known_but_none_in_huri	PGR	
948	Drospirenone	METQSPRSQINEEU-HXCATZOESA-N	3	3	0	0.0	targets_known_but_none_in_huri	AR;NR3C2;PGR	
949	Nefiracetam	NGHTXZCKLWZPGK-UHFFFAOYSA-N	0	0	0		no_known_targets		
950	Methylscopolamine	LZCOQTDXKCNBEE-XJMZPCNVSA-N	2	2	0	0.0	targets_known_but_none_in_huri	CHRM1;CHRM3	
951	Enrofloxacin	SPFYMRJSYKOXGV-UHFFFAOYSA-N	0	0	0		no_known_targets		
952	Nicaraven	KTXBOOWDLPUROC-UHFFFAOYSA-N	0	0	0		no_known_targets		
953	Nebivolol	KOHIRBRYDXPAMZ-UHFFFAOYSA-N	3	3	0	0.0	targets_known_but_none_in_huri	ADRB1;ADRB2;HTR1A	
954	Dofetilide	IXTMWRCNAAVVAI-UHFFFAOYSA-N	1	1	1	1.0	targets_mapped_to_huri	KCNH2	ENSG00000055118
955	Dapoxetine hydrochloride	IHWDIQRWYNMKFM-BDQAORGHSA-N	1	1	0	0.0	targets_known_but_none_in_huri	SLC6A4	
956	Bindarit	MTHORRSSURHQPZ-UHFFFAOYSA-N	0	0	0		no_known_targets		
957	Iloperidone	XMXHEBAFVSFQEX-UHFFFAOYSA-N	22	22	3	0.13636363636363635	targets_mapped_to_huri	ADRA1A;ADRA2A;ADRA2B;ADRA2C;CCKBR;CHRM1;CHRM2;CHRM4;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HTR1A;HTR1D;HTR2A;HTR2C;HTR6;HTR7;SLC6A2;SLC6A3	ENSG00000184160;ENSG00000169676;ENSG00000147246
958	Loxapine succinate	YQZBAXDVDZTKEQ-UHFFFAOYSA-N	5	5	1	0.2	targets_mapped_to_huri	DRD4;HRH4;HTR2A;HTR2C;KCNK2	ENSG00000147246
959	Loperamide hydrochloride	PGYPOBZJRVSMDS-UHFFFAOYSA-N	16	16	5	0.3125	targets_mapped_to_huri	ADRA1B;CES2;DRD2;DRD3;DRD4;HTR1D;HTR2B;OPRD1;OPRK1;OPRM1;SCN5A;SIGMAR1;SLC6A3;SLC6A4;TEK;TMEM97	ENSG00000116329;ENSG00000082556;ENSG00000112038;ENSG00000183873;ENSG00000109084
960	Maprotiline hydrochloride	NZDMFGKECODQRY-UHFFFAOYSA-N	7	7	1	0.14285714285714285	targets_mapped_to_huri	CACNA1B;DRD1;DRD2;DRD3;DRD5;HRH1;SLC6A2	ENSG00000169676
