training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
396129-53-6	396129-53-6	1171.0	396129-53-6	mapped	exact
39711-79-0	39711-79-0	3641.0	39711-79-0	mapped	exact
3BDO	3bdo	2351.0	3BDO	mapped	exact
4-Aminohippuric acid	4-aminohippuric acid	454.0	4-Aminohippuric acid	mapped	exact
4-Aminosalicylic acid	4-aminosalicylic acid	299.0	4-Aminosalicylic acid	mapped	exact
4-Chloro-3-methylphenol	4-chloro-3-methylphenol	443.0	4-Chloro-3-methylphenol	mapped	exact
4-Hydroxytamoxifen	4-hydroxytamoxifen	4618.0	4-Hydroxytamoxifen	mapped	exact
4-Iodo-3-nitrobenzamide	4-iodo-3-nitrobenzamide	1501.0	4-Iodo-3-nitrobenzamide	mapped	exact
4-Methoxyphenol	4-methoxyphenol	722.0	4-Methoxyphenol	mapped	exact
4-Methylpyrazole	4-methylpyrazole	340.0	4-Methylpyrazole	mapped	exact
4-[[(2R,3S,4R,5S)-3-(3-chloro-2-fluoro-phenyl)-4-(4-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethylpropyl)pyrrolidine-2-carbonyl]amino]-3-methoxy-benzoic acid	4-[[(2r,3s,4r,5s)-3-(3-chloro-2-fluoro-phenyl)-4-(4-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethylpropyl)pyrrolidine-2-carbonyl]amino]-3-methoxy-benzoic acid	3607.0	4-[[(2R,3S,4R,5S)-3-(3-chloro-2-fluoro-phenyl)-4-(4-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethylpropyl)pyrrolidine-2-carbonyl]amino]-3-methoxy-benzoic acid	mapped	exact
4-methylumbelliferone	4-methylumbelliferone	1307.0	4-methylumbelliferone	mapped	exact
405554-55-4	405554-55-4			ambiguous	ambiguous
405911-17-3	405911-17-3	1727.0	405911-17-3	mapped	exact
409345-29-5	409345-29-5	2601.0	409345-29-5	mapped	exact
41276-02-2	41276-02-2	2368.0	41276-02-2	mapped	exact
41575-94-4	41575-94-4	396.0	41575-94-4	mapped	exact
423735-93-7	423735-93-7	1226.0	423735-93-7	mapped	exact
426219-18-3	426219-18-3	2970.0	426219-18-3	mapped	exact
431979-47-4	431979-47-4	3130.0	431979-47-4	mapped	exact
438190-29-5	438190-29-5	1236.0	438190-29-5	mapped	exact
439081-02-4	439081-02-4	3282.0	439081-02-4	mapped	exact
444912-48-5	444912-48-5	1582.0	444912-48-5	mapped	exact
445430-58-0	445430-58-0	2674.0	445430-58-0	mapped	exact
449811-92-1	449811-92-1	2671.0	449811-92-1	mapped	exact
451492-95-8	451492-95-8	2066.0	451492-95-8	mapped	exact
452105-23-6	452105-23-6	3831.0	452105-23-6	mapped	exact
452342-67-5	452342-67-5	1590.0	452342-67-5	mapped	exact
473382-39-7	473382-39-7	2378.0	473382-39-7	mapped	exact
476159-98-5	476159-98-5	2471.0	476159-98-5	mapped	exact
476477-15-3	476477-15-3	3094.0	476477-15-3	mapped	exact
4812-40-2	4812-40-2	312.0	4812-40-2	mapped	exact
494772-86-0	494772-86-0	3564.0	494772-86-0	mapped	exact
494772-87-1	494772-87-1	2315.0	494772-87-1	mapped	exact
4961-41-5	4961-41-5	1600.0	4961-41-5	mapped	exact
497839-62-0	497839-62-0	1598.0	497839-62-0	mapped	exact
49843-98-3	49843-98-3	1297.0	49843-98-3	mapped	exact
4SC-202	4sc-202	3838.0	4SC-202	mapped	exact
5,5'-Dimethyl-2,2'-bipyridine	5,5'-dimethyl-2,2'-bipyridine	3953.0	5,5'-Dimethyl-2,2'-bipyridine	mapped	exact
5-Aminolevulinic acid hydrochloride	5-aminolevulinic acid hydrochloride	42.0	5-Aminolevulinic acid hydrochloride	mapped	exact
5-Aminosalicylic acid	5-aminosalicylic acid	277.0	5-Aminosalicylic acid	mapped	exact
5-Fluoro-2'-deoxyuridine	5-fluoro-2'-deoxyuridine	390.0	5-Fluoro-2'-deoxyuridine	mapped	exact
5-Fluorocytosine	5-fluorocytosine	517.0	5-Fluorocytosine	mapped	exact
5-Fluorouracil	5-fluorouracil	1.0	5-Fluorouracil	mapped	exact
5-azacytidine	5-azacytidine	45.0	5-azacytidine	mapped	exact
5-hydroxy-L-tryptophan	5-hydroxy-l-tryptophan	2612.0	5-hydroxy-L-tryptophan	mapped	exact
5-hydroxytryptophan	5-hydroxytryptophan	425.0	5-hydroxytryptophan	mapped	exact
500-92-5	500-92-5	8339.0	500-92-5	mapped	exact
500579-04-4	500579-04-4	2715.0	500579-04-4	mapped	exact
501919-59-1	501919-59-1	1118.0	501919-59-1	mapped	exact
501925-31-1	501925-31-1	1121.0	501925-31-1	mapped	exact
503468-95-9	503468-95-9	1639.0	503468-95-9	mapped	exact
504433-23-2	504433-23-2	2654.0	504433-23-2	mapped	exact
509088-69-1	509088-69-1	2146.0	509088-69-1	mapped	exact
51-56-9	51-56-9	1438.0	51-56-9	mapped	exact
